parties,votes
VVD,2279130
D66,1565861
PVV (Partij voor de Vrijheid),1124482
CDA,990601
SP (Socialistische Partij),623371
Partij van de Arbeid (P.v.d.A.),597192
GROENLINKS,537308
Forum voor Democratie,523083
Partij voor de Dieren,399750
ChristenUnie,351275
Volt,252480
JA21,246620
Staatkundig Gereformeerde Partij (SGP),215249
DENK,211237
50PLUS,106702
BBB,104319
BIJ1,87238
CODE ORANJE,40731
NIDA,33834
Splinter,30328
Piratenpartij,22816
JONG,15297
Trots op Nederland (TROTS),13198
Lijst Henk Krol,9264
NLBeter,8657
blanco lijst[m]met 1e kandidaat Anna Zeven,8277
LP (Libertaire Partij),5546
OPRECHT,5449
JEZUS LEEFT,5015
DE FEESTPARTIJ (DFP),3744
U-Buntu Connected Front,1880
Vrij en Sociaal Nederland,942
Partij van de Eenheid,804
Wij zijn Nederland,553
Partij voor de Republiek,255
Modern Nederland,245
De Groenen,119
